design	22B2	22B1	22B2_normalized	22B1_normalized
A0024_21193[c-]f	0.0	0.0	0.0	0.0
A0024_21193[c-]r	0.0	0.0	0.0	0.0
A0024_21216[c-]f	0.0	0.0	0.0	0.0
A0024_21216[c-]r	0.0	0.0	0.0	0.0
A0024_21334[c-]f	5.0	5.0	5.0	5.0
A0024_21334[c-]r	5.0	5.0	5.0	5.0
A0024_21335[c-]f	0.0	0.0	0.0	0.0
A0024_21335[c-]r	0.0	0.0	0.0	0.0
A0025_22394[c-]f	3.0	3.0	3.0	3.0
A0025_22394[c-]r	3.0	3.0	3.0	3.0
A0025_22400[c-]f	4.0	4.0	4.0	4.0
A0025_22400[c-]r	4.0	4.0	4.0	4.0
A0025_22406[c-]f	15.0	15.0	15.0	15.0
A0025_22406[c-]r	15.0	15.0	15.0	15.0
A0025_22431[c-]f	9.0	9.0	9.0	9.0
A0025_22431[c-]r	9.0	9.0	9.0	9.0
A0025_22448[c-]f	7.0	7.0	7.0	7.0
A0025_22448[c-]r	7.0	7.0	7.0	7.0
A0025_22454[c-]f	2.0	2.0	2.0	2.0
A0025_22454[c-]r	2.0	2.0	2.0	2.0
A0025_22487[c-]f	4.0	4.0	4.0	4.0
A0025_22487[c-]r	4.0	4.0	4.0	4.0
A0025_22500[c-]f	8.0	8.0	8.0	8.0
A0025_22500[c-]r	8.0	8.0	8.0	8.0
